10.1103/PhysRevB.59.12236|1999-05-15|73.20|b't. m. ito><arao  nakamura><yoshihisa  fujiwara><yukiharu  takeda><takuma  tsuchiya><l.  bolotov'
10.1103/PhysRevB.59.12244|1999-05-15|73.20|b'luis  craco><k. n. kang'
10.1103/PhysRevB.59.12248|1999-05-15|73.20|b'kamran  houshangpour><klaus  maschke'
10.1103/PhysRevB.59.12252|1999-05-15|73.20|b'michelle y. simmons><a. g. davies><michael  pepper><w. r. tribe><james t. nicholls><k. j. thomas'
10.1103/PhysRevB.59.12294|1999-05-15|73.20|b'takashi  takahashi><oscar  tjernberg><haruyoshi  aoki><h.  nyl\xc3\xa9n><t. t. suzuki><g.  chiaia><sang h. yang><hiroshi  kumigashira><i.  lindau><h. s. kim><akira  ochiai'
10.1103/PhysRevB.59.12487|1999-05-15|73.20|b'p. g. bolcatto><c\xc3\xa9sar r. proetto'
10.1103/PhysRevB.59.12499|1999-05-15|73.20|b'armando c. ferraz><r. h. miwa'
10.1103/PhysRevB.59.12598|1999-05-15|73.20|b'c. j. adkins><a. v. dvurechenskii><a. i. nikiforov><r.  boucher><g.  biskupski><a. i. yakimov><o. p. pchelyakov'
10.1103/PhysRevB.59.12652|1999-05-15|73.20|b'n.  zabala><martti j. puska><risto m. nieminen'
10.1103/PhysRevB.59.12661|1999-05-15|73.20|b'trevor w. preist><w. c. tan><n. p. wanstall><j. roy sambles'
10.1103/PhysRevB.59.12983|1999-05-15|73.20|b'tomasz  dietl><g.  brunthaler><g\xc3\xbcnther  bauer><a.  prinz><yukio  ueta><gunther  springholz><g.  grabecki'
10.1103/PhysRevB.59.13026|1999-05-15|73.20|b'edward  mccann><klaus  richter'
10.1103/PhysRevB.59.13036|1999-05-15|73.20|b'janusz  adamowski><s.  bednarek><bart\xc5\x82omiej  szafran'
10.1103/PhysRevB.59.13043|1999-05-15|73.20|b'miroslaw  za\xc5\x82u\xc5\xbcny><c.  nalewajko'
10.1103/PhysRevB.59.13139|1999-05-15|73.20|b'eugene v. sukhorukov><o. e. rut><s. a. negachev><a. v. germanenko><g. m. minkov'
10.1103/PhysRevB.59.13147|1999-05-15|73.20|b'daniel p. arovas><anders  karlhede><d.  lillieh\xc3\xb6\xc3\xb6k'
10.1103/PhysRevB.59.13196|1999-05-15|73.20|b'roberto  cingolani><giuliano  col\xc3\xac><g.  traetta'
10.1103/PhysRevB.59.13314|1999-05-15|73.20|b'friedrich  sch\xc3\xa4ffler><c.  penn><g\xc3\xbcnther  bauer><stephan  glutsch'
10.1103/PhysRevB.59.13322|1999-05-15|73.20|b'peter  nordlander><martin  plihal><david c. langreth'
10.1103/PhysRevB.59.13328|1999-05-15|73.20|b'paul m. goldbart><daniel  loss><herbert  schoeller'
10.1103/PhysRevB.59.13592|1999-06-01|73.20|b'b. d. laikhtman><d.  menashe'
10.1103/PhysRevB.59.13977|1999-06-01|73.20|b'viktor z. cerovski><s. d. mahanti><thomas a. kaplan><a.  taraphder'
10.1103/PhysRevB.59.14510|1999-06-01|73.20|b'o.  elmouhssine><hugues  dreyss\xc3\xa9><jos\xc3\xa9 m. izquierdo><claude  demangeat><a.  vega'
10.1103/PhysRevB.59.14848|1999-06-15|73.20|b'michele  fabrizio><m.  steiner><alexander o. gogolin><y. t. chen'
10.1103/PhysRevB.59.14872|1999-06-15|73.20|b'tadashi  takamasu><takuo  sakon><mitsuhiro  motokawa><giyuu  kido><fumiyuki  nihey><kazutaka g. nakamura'
10.1103/PhysRevB.59.14876|1999-06-15|73.20|b'j. h. xia><kok wai cheah'
10.1103/PhysRevB.59.14884|1999-06-15|73.20|b'e.  teske><yu. p. monarkha><peter  wyder'
10.1103/PhysRevB.59.14888|1999-06-15|73.20|b'yuzo  ohno><norio  kumada><fumihiro  matsukura><z. f. ezawa><shunji  kishimoto><a.  urayama><hideo  ohno><akikatsu  sawada><yoshiji  horikoshi'
10.1103/PhysRevB.59.14896|1999-06-15|73.20|b'gerhard  weiser><c.  agert><h. j. kolbe><wolfgang  stolz'
10.1103/PhysRevB.59.14911|1999-06-15|73.20|b'hideo  aoki><satoru  muto'
10.1103/PhysRevB.59.15093|1999-06-15|73.20|b'akio  kotani><j. c. parlebas><peter  kr\xc3\xbcger'
10.1103/PhysRevB.59.15261|1999-06-15|73.20|b'andrzej  fleszar><s. e. gundel><werner r. hanke><w.  faschinger'
10.1103/PhysRevB.59.15270|1999-06-15|73.20|b't.  mattila><l. g. wang><alex  zunger'
10.1103/PhysRevB.59.15290|1999-06-15|73.20|b'manuel  barranco><mart\xc3\xad  pi><ll.  serra><enrico  lipparini><agust\xc3\xad  emperador'
10.1103/PhysRevB.59.15301|1999-06-15|73.20|b'manuel  barranco><mart\xc3\xad  pi><ll.  serra><enrico  lipparini><agust\xc3\xad  emperador'
10.1103/PhysRevB.59.15308|1999-06-15|73.20|b'a. b. gougam><j.  sicart><bernard  etienne><j. l. robert'
10.1103/PhysRevB.59.15312|1999-06-15|73.20|b'v. a. bondarenko'
10.1103/PhysRevB.59.15368|1999-06-15|73.20|b'michael  spanner><z. r. wasilewski><p. g. piva><c. ni. allen><d.  picard><j. p. mccaffrey><simon  fafard'
10.1103/PhysRevB.59.15388|1999-06-15|73.20|b's. r. leffler><s. m. sadeghi><j. m. meyer'
10.1103/PhysRevB.59.15395|1999-06-15|73.20|b'alessandro  baraldi><secondo  franchi><m.  geddo><r.  ferrini><renato  magnanini><m.  patrini><g.  guizzetti><e. kh. mukhamedzhanov><c.  bocchi'
10.1103/PhysRevB.59.15430|1999-06-15|73.20|b'charles w. bauschlicher><t. k. yamada><harry  partridge'
10.1103/PhysRevB.59.15506|1999-06-15|73.20|b's. m. ritzau><r. c. monreal><ra\xc3\xbal a. baragiola'
10.1103/PhysRevB.59.15533|1999-06-15|73.20|b'm. veronica ganduglia-pirovano><matthias  scheffler'
10.1103/PhysRevB.59.1555|1999-01-15|73.20|b'luis  quiroga><a. s. camacho><r.  baquero><j. a. rodr\xc3\xadguez'
10.1103/PhysRevB.59.15766|1999-06-15|73.20|b'm. c. dharma-wardana><douglas s. ritchie><jiang guo ping><harry e. ruda><marek z. zgierski'
10.1103/PhysRevB.59.15784|1999-06-15|73.20|b'han woong yeom><kensuke  tono><iwao  matsuda><toshiaki  ohta'
10.1103/PhysRevB.59.15789|1999-06-15|73.20|b'masahiko  nishida'
10.1103/PhysRevB.59.15796|1999-06-15|73.20|b's. f. lee><ian  galbraith'
10.1103/PhysRevB.59.15806|1999-06-15|73.20|b'l. g. wang><alex  zunger'
10.1103/PhysRevB.59.15819|1999-06-15|73.20|b'alex  zunger><andrew j. williamson'
10.1103/PhysRevB.59.15825|1999-06-15|73.20|b'w. c. kok><y. t. yip'
