10.1103/PhysRevE.72.046116|2005-10-17|b'89.75.Hc><05.65.+b'|b'Kazuhiro Takemoto><Chikoo Oosawa',,,
10.1103/PhysRevE.72.056602|2005-11-04|b'45.05.+x><05.45.Xt'|b'Bambi Hu><Jasmina Teki\xc4\x87',,,
10.1103/PhysRevE.72.025604|2005-08-26|b'42.65.Tg><42.55.Wd><05.45.Yv'|b'A. Komarov><H. Leblond><F. Sanchez',,,
10.1103/PhysRevE.72.027205|2005-08-31|b'05.45.Tp><87.19.Hh'|b'Sara P. Garcia><Jonas S. Almeida',,,
10.1103/PhysRevE.72.051927|2005-11-29|b'87.19.Hh><05.45.\xe2\x88\x92a'|b'Philippe Comtois><Alain Vinet',,,
10.1103/PhysRevE.72.026213|2005-08-18|b'05.45.Tp'|b'M. Peifer><B. Schelter><M. Winterhalder><J. Timmer',,,
10.1103/PhysRevE.72.037301|2005-09-12|b'47.52.+j><05.45.\xe2\x88\x92a'|b'Bruno Eckhardt><Erwan Hasco\xc3\xabt',,,
10.1103/PhysRevE.72.036605|2005-09-13|b'05.45.Yv><61.25.Hq><64.60.Cn><64.75.+g'|b'Fred Cooper><Avinash Khare><Bogdan Mihaila><Avadh Saxena',,,
10.1103/PhysRevE.72.036114|2005-09-14|b'89.75.Fb'|b'N. Read',,,
10.1103/PhysRevE.72.066114|2005-12-13|b'05.70.\xe2\x88\x92a><05.40.\xe2\x88\x92a><05.45.Mt><03.65.\xe2\x88\x92w'|b'A. Y. Abul-Magd',,,
10.1103/PhysRevE.72.026221|2005-08-25|b'05.45.Mt><32.80.Bx><03.65.Vf><03.65.Nk'|b'E. Hern\xc3\xa1ndez><A. J\xc3\xa1uregui><A. Mondrag\xc3\xb3n',,,
10.1103/PhysRevE.72.061110|2005-12-27|b'05.40.\xe2\x88\x92a><02.50.\xe2\x88\x92r><05.45.\xe2\x88\x92a'|b'A. Fiasconaro><B. Spagnolo><S. Boccaletti',,,
10.1103/PhysRevE.72.036219|2005-09-27|b'05.45.Tp><05.40.Ca'|b'Marek Strumik><Wies\xc5\x82aw M. Macek><Stefano Redaelli',,,
10.1103/PhysRevE.72.016108|2005-07-08|b'05.65.+b><05.45.\xe2\x88\x92a><64.60.Ak><89.70.+c'|b'M. Manning><J. M. Carlson><J. Doyle',,,
10.1103/PhysRevE.72.021915|2005-08-31|b'87.19.\xe2\x88\x92j><05.45.Tp><43.80.+p'|b'A. Facchini><H. Kantz><E. Tiezzi',,,
10.1103/PhysRevE.72.035602|2005-09-09|b'05.45.Yv><63.20.Pw'|b'I. V. Barashenkov><O. F. Oxtoby><Dmitry E. Pelinovsky',,,
