10.1103/PhysRevE.72.066129|2005-12-30|b'64.60.Ak><68.35.Rh><05.10.Ln'|b'M. Dolz><F. Nieto><A. J. Ramirez-Pastor',,,
10.1103/PhysRevE.72.066115|2005-12-14|b'89.75.Fb><05.40.\xe2\x88\x92a'|b'A. Ramezanpour><S. M. Vaez Allaei',,,
10.1103/PhysRevE.72.036116|2005-09-16|b'64.60.Ht><05.40.\xe2\x88\x92a><61.43.Hv><05.10.Ln'|b'Isabel Irurzun><Claudio M. Horowitz><Ezequiel V. Albano',,,
10.1103/PhysRevE.72.051717|2005-11-28|b'64.70.Md><64.60.Cn'|b'Mahendra D. Khandkar><Mustansir Barma',,,
10.1103/PhysRevE.72.051102|2005-11-07|b'05.40.\xe2\x88\x92a><02.50.\xe2\x88\x92r><82.20.\xe2\x88\x92w><89.75.Da'|b'Nicholas Chia><Ralf Bundschuh',,,
10.1103/PhysRevE.72.046133|2005-10-25|b'89.65.Gh><05.40.Ca><89.75.Fb><89.75.\xe2\x88\x92k'|b'Dong-Hee Kim><Hawoong Jeong',,,
10.1103/PhysRevE.72.041601|2005-10-05|b'64.60.Fr><68.08.\xe2\x88\x92p><68.35.Rh'|b'J.-H. J. Cho><B. M. Law',,,
10.1103/PhysRevE.72.026125|2005-08-22|b'89.75.\xe2\x88\x92k><05.20.\xe2\x88\x92y><46.15.Cc'|b'David S. Dean><David Lancaster><Satya N. Majumdar',,,
10.1103/PhysRevE.72.016114|2005-07-18|b'02.50.Le><05.50.+q><64.60.\xe2\x88\x92i><89.65.\xe2\x88\x92s'|b'Giacomo Raffaelli><Matteo Marsili',,,
10.1103/PhysRevE.72.016202|2005-07-07|b'05.45.Ra><05.45.Df><64.60.Ak'|b'Zahera Jabeen><Neelima Gupte',,,
10.1103/PhysRevE.72.026124|2005-08-19|b'64.60.\xe2\x88\x92i><68.60.\xe2\x88\x92p><87.16.Dg'|b'Hiroshi Koibuchi><Toshiya Kuwahata',,,
10.1103/PhysRevE.72.061103|2005-12-09|b'82.33.\xe2\x88\x92z><82.40.\xe2\x88\x92g><02.50.Ey><89.75.Da'|b'S. B. Yuste><Katja Lindenberg',,,
10.1103/PhysRevE.72.051603|2005-11-30|b'64.60.Qb><82.60.Nh><68.43.Hn><68.43.Jk'|b'M. V. Sorokin><A. E. Volkov',,,
10.1103/PhysRevE.72.036217|2005-09-27|b'05.45.Xt><89.70.+c><89.75.\xe2\x88\x92k><05.10.\xe2\x88\x92a'|b'H. Hong><Hyunggyu Park><M. Y. Choi',,,
10.1103/PhysRevE.72.011918|2005-07-28|b'87.15.Aa><82.37.Rs><89.75.Da><05.40.\xe2\x88\x92a'|b'Cristiano L. Dias><Martin Dub\xc3\xa9><Fernando A. Oliveira><Martin Grant',,,
10.1103/PhysRevE.72.017105|2005-07-29|b'02.50.\xe2\x88\x92r><64.60.\xe2\x88\x92i><05.65.+b'|b'Kavita Jain',,,
10.1103/PhysRevE.72.066105|2005-12-05|b'89.75.\xe2\x88\x92k><05.20.\xe2\x88\x92y><75.10.Nr'|b'J. P. L. Hatchett><N. S. Skantzos><T. Nikoletopoulos',,,
10.1103/PhysRevE.72.056128|2005-11-23|b'89.75.Hc><89.75.Fb><87.23.Ge><87.19.Xx'|b'F. C. Santos><J. F. Rodrigues><J. M. Pacheco',,,
10.1103/PhysRevE.72.041904|2005-10-05|b'87.19.Hh><87.80.Vt><89.75.Da><05.45.Df'|b'Kiyoshi Kotani><Zbigniew R. Struzik><Kiyoshi Takamasu><H. Eugene Stanley><Yoshiharu Yamamoto',,,
10.1103/PhysRevE.72.026110|2005-08-11|b'64.60.Cn><68.65.\xe2\x88\x92k><36.40.Sx'|b'E. Yurtsever><F. Calvo><D. J. Wales',,,
10.1103/PhysRevE.72.037101|2005-09-06|b'89.75.Hc><05.45.Xt><05.10.\xe2\x88\x92a'|b'Baihua Gong><Lei Yang><Kongqing Yang',,,
10.1103/PhysRevE.72.016707|2005-07-13|b'05.10.\xe2\x88\x92a><05.45.Df><89.75.Kd'|b'Erbe P. Rodrigues><Marconi S. Barbosa><Luciano da F. Costa',,,
10.1103/PhysRevE.72.066121|2005-12-22|b'84.35.+i><89.75.Hc><05.45.\xe2\x88\x92a><05.45.Xt'|b'Okyu Kwon><Hang-Hyun Jo><Hie-Tae Moon',,,
10.1103/PhysRevE.72.046131|2005-10-24|b'64.60.Ht><05.70.Ln><05.50.+q'|b'S. van Gemmert><G. T. Barkema><Sanjay Puri',,,
10.1103/PhysRevE.72.062302|2005-12-19|b'62.20.Mk><61.43.\xe2\x88\x92j><64.60.\xe2\x88\x92i><81.40.Np'|b'Espen Jettestuen><Anders Malthe-S\xc3\xb8renssen',,,
10.1103/PhysRevE.72.026116|2005-08-16|b'89.75.Hc><89.75.Da><89.75.Fb'|b'Yongxiang Xia><Chi K. Tse><Wai M. Tam><Francis C. M. Lau><Michael Small',,,
